"","nobs","nsim","k","lm","lewbel","tsls"
"71",100,15,1,0.154631014072506,0.289173354344426,0.0874831606215571
"72",200,15,1,0.119544860065367,0.16747002696152,-0.00416871322368662
"73",500,15,1,0.161276156024633,0.242862434677021,0.0445722105029149
"74",1100,15,1,0.124388035875807,-0.043927852986208,-0.0136195749791459
"75",3000,15,1,0.143564920359609,0.132931126350743,-0.0181984782923429
"76",100,16,1,0.0728810431358831,-0.000800678418522716,0.0288712239562563
"77",200,16,1,0.0897483506757577,-0.249299138025376,-0.116412442165081
"78",500,16,1,0.175458669728305,-0.0277407854410192,0.082309605146254
"79",1100,16,1,0.151920949053342,0.234755395705096,0.041390841704422
"80",3000,16,1,0.135249294554349,-0.0234096672935741,-0.0113824551715661
"81",100,17,1,0.092311977778343,7.23074835711905,-0.060448121908495
"82",200,17,1,0.139158087570365,0.467950240276661,0.0230166097726074
"83",500,17,1,0.140068515198609,0.0346983147881841,0.00956563125894605
"84",1100,17,1,0.142366306876964,-0.0688016626602047,0.0416651404719859
"85",3000,17,1,0.129805489031835,0.0909566575716059,-0.00218109835898928
"86",100,18,1,0.285866984070941,-0.7437401760343,0.177192647417677
"87",200,18,1,0.191645379417519,-0.488822948413463,0.0728681732697321
"88",500,18,1,0.119409983250854,-0.224827307031019,-0.0258064676280194
"89",1100,18,1,0.136140627534656,-0.234572542095557,0.0473494350144053
"90",3000,18,1,0.154791417837407,0.145013125144826,0.00513495534465114
"91",100,19,1,0.158691199443865,1.03112668658214,0.045548440121072
"92",200,19,1,0.0951521494362702,-0.448076672888131,-0.00738940015180289
"93",500,19,1,0.0948543223845266,-0.751019582071345,-0.061024898290691
"94",1100,19,1,0.13649915288547,-0.268557829155571,0.0274733197274377
"95",3000,19,1,0.145726124723983,-0.0721107725282112,0.0144607986209482
"96",100,20,1,0.196428668308793,-9.55427514487723,0.103741959265325
"97",200,20,1,0.158284981503892,0.00998855103287344,-0.035132733211628
"98",500,20,1,0.214275445059958,0.0143934717844716,-0.0299400180945099
"99",1100,20,1,0.128133213524989,0.00681658967468035,0.0201761768228328
"100",3000,20,1,0.130082778739171,0.0585016751618097,-0.0428187601876294
"101",100,21,1,0.183562400917186,-0.0821899439225791,-0.0674412220059195
"102",200,21,1,0.146426280415965,0.132593622637243,0.0183628829744626
"103",500,21,1,0.161805708331582,0.0887089485300825,0.000450424317663956
"104",1100,21,1,0.102528299393748,-0.0846782210095379,-0.0212844643542816
"105",3000,21,1,0.12630180708286,-0.0420066440315228,0.0126762689503928
"106",100,22,1,0.106084490728639,-4.75182158153104,-0.0739606953211651
"107",200,22,1,0.133177872778705,0.173668549773942,-0.0740124999603811
"108",500,22,1,0.0887968900278373,0.134600113718524,-0.0849052083343808
"109",1100,22,1,0.156014744285822,0.283209447148198,0.00774991662430868
"110",3000,22,1,0.142784752257793,-0.0425556576898738,0.0128272094780173
"111",100,23,1,0.259071201196572,2.31232385525515,-0.0343367600516612
"112",200,23,1,0.12394066706443,-0.00647225235922944,-0.0289729589393443
"113",500,23,1,0.114100967654184,-0.436403993164605,0.000379178967687466
"114",1100,23,1,0.164444023460191,0.118744585748081,0.0251934977965385
"115",3000,23,1,0.123687732825996,-0.013355127804809,0.00545088831211715
"116",100,24,1,0.0899092535819981,0.369652202134489,-0.0969366837930875
"117",200,24,1,0.102747116291253,-0.162737181509862,-0.0574687539112858
"118",500,24,1,0.197133711211904,0.120223657059373,0.050070993471081
"119",1100,24,1,0.142419881679735,0.112981237873975,-0.0233031313789088
"120",3000,24,1,0.115028475126736,-0.119868089140502,-0.0265974204268435
"121",100,25,1,0.171614962950538,0.522229400905153,0.143278551677598
"122",200,25,1,0.148112939917023,0.669948129730638,-0.0343057404552152
"123",500,25,1,0.0774400677230147,-0.0518395070507033,-0.0185529538493806
"124",1100,25,1,0.115402349029912,-0.0500097887789974,-0.021138595638222
"125",3000,25,1,0.118873946995792,0.122207084515582,-0.0556937217074385
"126",100,26,1,0.101806896403313,-0.0684025032308577,0.0598062962929773
